Dernier;Variation;Ouverture;Haut;Bas;Volume;Indice;Date
6035.97;-0.0017;6069.09;6089.2;6018.55;3434.0;CAC 40 ;2021-03-15
6055.43;0.0032;6050.4;6061.19;6034.76;3792.0;CAC 40 ;2021-03-16
6054.82;-0.0001;6048.31;6062.36;6037.25;3454.0;CAC 40 ;2021-03-17
6062.79;0.0013;6076.21;6082.92;6044.32;3878.0;CAC 40 ;2021-03-18
6010.74;-0.0086;6021.13;6047.65;5983.61;2956.0;CAC 40 ;2021-03-19
4754.33;-0.0019;4780.46;4795.8;4742.48;0.0;SBF 120 ;2021-03-15
4771.78;0.0037;4766.86;4777.56;4757.28;0.0;SBF 120 ;2021-03-16
4771.37;-0.0001;4766.68;4775.73;4756.42;0.0;SBF 120 ;2021-03-17
4775.18;0.0008;4789.49;4795.5;4763.44;0.0;SBF 120 ;2021-03-18
4736.7;-0.0081;4743.48;4762.78;4714.32;0.0;SBF 120 ;2021-03-19
14266.16;0.0004;14321.87;14362.59;14253.3;0.0;CAC Mid & Small ;2021-03-15
14354.54;0.0062;14344.62;14392.29;14326.38;0.0;CAC Mid & Small ;2021-03-16
14346.61;-0.0006;14355.15;14382.32;14275.25;0.0;CAC Mid & Small ;2021-03-17
14327.77;-0.0013;14426.15;14435.26;14325.19;0.0;CAC Mid & Small ;2021-03-18
14279.29;-0.0034;14185.25;14297.32;14180.9;0.0;CAC Mid & Small ;2021-03-19
14461.42;-0.0028;14504.49;14572.24;14409.35;0.0;DAX ;2021-03-15
14557.58;0.0066;14519.72;14601.79;14511.3;0.0;DAX ;2021-03-16
14596.61;0.0027;14565.29;14601.63;14539.7;0.0;DAX ;2021-03-17
14791.3;0.0133;14673.72;14804.01;14669.95;0.0;DAX ;2021-03-18
14634.4;-0.0096;14697.26;14747.56;14563.21;0.0;DAX ;2021-03-19
3968.94;0.0065;3942.96;3970.08;3923.54;0.0;S&P 500 INDEX ;2021-03-15
3962.71;-0.0016;3973.59;3981.04;3953.44;0.0;S&P 500 INDEX ;2021-03-16
3974.12;0.0029;3949.57;3983.87;3935.74;0.0;S&P 500 INDEX ;2021-03-17
3915.46;-0.0148;3953.5;3969.62;3910.86;0.0;S&P 500 INDEX ;2021-03-18
3907.47;-0.002;3913.14;3916.33;3886.75;0.0;S&P 500 INDEX ;2021-03-19
32953.46;0.0053;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-15
32825.95;-0.0039;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-16
33015.37;0.0058;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-17
32862.3;-0.0046;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-18
32674.94;-0.0057;0.0;0.0;0.0;0.0;Dow Jones Industrial Average;2021-03-19
3829.84;-0.0009;3840.85;3857.07;3818.2;0.0;DJ Euro Stoxx 50;2021-03-15
3850.96;0.0055;3842.33;3856.78;3838.22;0.0;DJ Euro Stoxx 50;2021-03-16
3849.74;-0.0003;3846.58;3853.66;3838.43;0.0;DJ Euro Stoxx 50;2021-03-17
3867.54;0.0046;3856.76;3874.91;3852.25;0.0;DJ Euro Stoxx 50;2021-03-18
3839.87;-0.0072;3851.61;3861.65;3833.74;0.0;DJ Euro Stoxx 50;2021-03-19
6749.7;-0.0017;6761.47;6804.91;6723.67;0.0;FTSE 100;2021-03-15
6803.61;0.008;6749.7;6812.78;6749.64;0.0;FTSE 100;2021-03-16
6762.67;-0.006;6803.61;6805.73;6753.82;0.0;FTSE 100;2021-03-17
6779.68;0.0025;6762.67;6791.76;6740.53;0.0;FTSE 100;2021-03-18
6714.49;-0.0096;6779.68;6779.68;6693.73;0.0;FTSE 100;2021-03-19
8635.4;-0.0011;8689.9;8740.1;8617.6;210887181.0;IBEX 35 ;2021-03-15
8657.7;0.0026;8679.4;8717.6;8617.8;209943732.0;IBEX 35 ;2021-03-16
8599.5;-0.0067;8652.1;8659.1;8570.1;173236965.0;IBEX 35 ;2021-03-17
8624.6;0.0029;8632.6;8658.8;8587.1;237338405.0;IBEX 35 ;2021-03-18
8502.3;-0.0142;8560.1;8591.2;8512.7;173673788.0;IBEX 35 ;2021-03-19
13459.708;0.0105;13323.472;13460.349;13272.499;0.0;NASDAQ Composite ;2021-03-15
13471.567;0.0009;13523.173;13620.711;13397.085;0.0;NASDAQ Composite ;2021-03-16
13525.202;0.004;13336.915;13595.001;13272.688;0.0;NASDAQ Composite ;2021-03-17
13116.168;-0.0302;13349.203;13384.456;13101.924;0.0;NASDAQ Composite ;2021-03-18
13184.03;0.0052;0.0;13188.692;0.0;0.0;NASDAQ Composite ;2021-03-19
29766.97;0.0017;29804.5;29884.73;29670.31;0.0;Nikkei 225;2021-03-15
29921.09;0.0052;29770.39;30026.4;29755.47;0.0;Nikkei 225;2021-03-16
29914.33;-0.0002;29836.83;29984.97;29825.16;0.0;Nikkei 225;2021-03-17
30216.75;0.0101;30148.48;30485.0;30041.5;0.0;Nikkei 225;2021-03-18
29792.05;-0.0141;29904.57;30049.77;29621.22;0.0;Nikkei 225;2021-03-19
